Dataset,Technique,Variation,Test Loss,Top Features,Execution Time (Seconds)
static/Dataset/DMC2_S_CP2.csv,WINIT LSTM without correlation with vae,Without Correlation,0.386248946,"TORQUE|6, TORQUE|1, LOAD|6, CMD_SPEED|1, VEL_FFW|1, LOAD|2, LOAD|1, TORQUE|2, LOAD|3, TORQUE|3",25.09796405
static/Dataset/DMC2_AL_CP1.csv,WINIT LSTM without correlation,Without Correlation,0.185883299,"TORQUE|1, TORQUE|6, LOAD|6, TORQUE|2, TORQUE|3, LOAD|2, LOAD|3, LOAD|1, CTRL_DIFF|2, CONT_DEV|3",257.1313169
static/Dataset/DMC2_AL_CP1.csv,WINIT XGB with correlation,With Correlation,0.003909928,"CTRL_DIFF2|6, TORQUE|1, LOAD|1, TORQUE|3, TORQUE|2, TORQUE|6, LOAD|3, LOAD|2, LOAD|6, TORQUE_FFW|1",6.959046841
static/Dataset/DMC2_AL_CP2.csv,WINIT LSTM without correlation,Without Correlation,0.096313,"TORQUE|6, TORQUE|1, LOAD|6, TORQUE|2, LOAD|2, TORQUE|3, LOAD|3, LOAD|1, CMD_SPEED|1, VEL_FFW|1",31.25109982
static/Dataset/DMC2_AL_CP2.csv,WINIT XGB with correlation,With Correlation,0.005650882,"TORQUE|1, TORQUE|6, CTRL_DIFF2|6, LOAD|6, LOAD|1, LOAD|3, CTRL_DIFF|6, CONT_DEV|6, TORQUE_FFW|1, TORQUE_FFW|2",1.220736027
static/Dataset/DMC2_S_CP1.csv,WINIT LSTM without correlation,Without Correlation,0.13293843,"TORQUE|1, TORQUE|2, TORQUE|6, TORQUE|3, LOAD|6, LOAD|3, LOAD|2, LOAD|1, VEL_FFW|3, CTRL_DIFF2|1",130.0534351
static/Dataset/DMC2_S_CP1.csv,WINIT XGB with correlation,With Correlation,0.003581767,"TORQUE|1, TORQUE|2, TORQUE|3, LOAD|6, LOAD|1, LOAD|3, TORQUE|6, CTRL_DIFF2|6, LOAD|2, TORQUE_FFW|1",3.768397808
static/Dataset/DMC2_S_CP2.csv,WINIT LSTM without correlation,Without Correlation,0.083821878,"TORQUE|6, TORQUE|1, LOAD|6, TORQUE|2, LOAD|2, TORQUE|3, LOAD|3, LOAD|1, CMD_SPEED|1, VEL_FFW|1",21.65824986
static/Dataset/DMC2_S_CP2.csv,WINIT XGB with correlation,With Correlation,0.0094635,"TORQUE|6, TORQUE|1, LOAD|3, LOAD|6, LOAD|1, CTRL_DIFF|6, CONT_DEV|6, TORQUE_FFW|1, TORQUE_FFW|2, TORQUE_FFW|3",1.025480986
static/Dataset/DMC2_AL_CP1.csv,WINIT XGB without correlation,Without Correlation,0.092079641,"TORQUE|6, TORQUE|1, TORQUE|2, VEL_FFW|3, LOAD|1, CTRL_DIFF2|3, TORQUE|3, LOAD|3, ENC_POS|3, LOAD|2",11.56190372
static/Dataset/DMC2_AL_CP2.csv,WINIT XGB without correlation,Without Correlation,0.055885757,"TORQUE|6, TORQUE|1, TORQUE|3, TORQUE|2, LOAD|6, LOAD|3, CTRL_POS|3, LOAD|1, LOAD|2, DES_POS|3",2.28151679
static/Dataset/DMC2_S_CP1.csv,WINIT XGB without correlation,Without Correlation,0.071627454,"TORQUE|1, TORQUE|2, TORQUE|3, TORQUE|6, LOAD|6, LOAD|3, LOAD|1, LOAD|2, DES_POS|3, ENC_POS|3",7.040039778
static/Dataset/DMC2_S_CP2.csv,WINIT XGB without correlation,Without Correlation,0.051265313,"TORQUE|6, TORQUE|1, TORQUE|3, TORQUE|2, LOAD|6, LOAD|3, LOAD|1, LOAD|2, CTRL_POS|3, CTRL_DIFF2|3",1.90133214
