Feature,Importance
LOAD|6,0.022562780950131898
LOAD|2,0.019672085129382937
TORQUE|2,0.019226088031190042
LOAD|3,0.018463807920166452
LOAD|1,0.016638768981565435
TORQUE|6,0.01446208281209264
TORQUE|1,0.006440151381651792
TORQUE|3,0.005135918597587926
CTRL_DIFF2|6,0.00462444956222717
TORQUE_FFW|3,0.0
CMD_SPEED|1,0.0
VEL_FFW|3,0.0
VEL_FFW|6,0.0
ENC1_POS|3,0.0
CONT_DEV|1,0.0
CONT_DEV|2,0.0
CONT_DEV|3,0.0
CONT_DEV|6,0.0
CMD_SPEED|2,0.0
TORQUE_FFW|2,0.0
CMD_SPEED|3,0.0
CMD_SPEED|6,0.0
ENC1_POS|2,0.0
VEL_FFW|1,0.0
ENC1_POS|1,0.0
TORQUE_FFW|6,0.0
TORQUE_FFW|1,0.0
VEL_FFW|2,0.0
CTRL_POS|1,0.0
CTRL_POS|6,0.0
DES_POS|1,0.0
ENC_POS|1,0.0
ENC_POS|2,0.0
ENC_POS|3,0.0
ENC_POS|6,0.0
CTRL_DIFF2|1,0.0
CTRL_DIFF2|2,0.0
CTRL_DIFF2|3,0.0
DES_POS|2,0.0
CTRL_POS|3,0.0
DES_POS|3,0.0
DES_POS|6,0.0
CTRL_DIFF|1,0.0
CTRL_DIFF|2,0.0
CTRL_DIFF|3,0.0
CTRL_DIFF|6,0.0
CTRL_POS|2,0.0
ENC1_POS|6,0.0
